,Date,Company,Ticker,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg,$ Chg Open,$ Chg Close,Star Rating,Performed,Year,Month,Day,Day of Week,1st Day Open to Close % Chg,1st Day Open to Close $ Chg
87,2020-06-26,Agora ,API,Morgan Stanley/ BofA Securities,20.0,45.0,50.5,1.525,25.0,30.5,2.0,,2020,6,26,4,0.12222222222222222,5.5
88,2020-06-26,Akouos ,AKUS,BofA Securities/ Cowen/ Piper Sandler,17.0,22.26,22.0,0.29411764705882354,5.260000000000002,5.0,3.0,,2020,6,26,4,-0.011680143755615524,-0.26000000000000156
89,2020-06-26,Albertsons Companies ,ACI,BofA Securities/ Goldman Sachs/J.P. Morgan/ Citigroup,16.0,15.5,15.45,-0.034375000000000044,-0.5,-0.5500000000000007,2.0,Missed,2020,6,26,4,-0.003225806451612949,-0.05000000000000071
90,2020-06-26,Ebang International Holdings ,EBON,AMTD/ Loop Capital Markets,5.23,4.6,5.0,-0.043977055449330865,-0.6300000000000008,-0.23000000000000043,N/C,,2020,6,26,4,0.08695652173913052,0.40000000000000036
91,2020-06-26,Fusion Acquisition ,FUSE.U,Cantor,10.0,10.25,10.16,0.016000000000000014,0.25,0.16000000000000014,1.0,,2020,6,26,4,-0.008780487804878036,-0.08999999999999986
92,2020-06-26,Fusion Pharmaceuticals ,FUSN,Morgan Stanley/ Jefferies/ Cowen,17.0,18.5,17.0,0.0,1.5,0.0,3.0,,2020,6,26,4,-0.08108108108108109,-1.5
93,2020-06-26,Kensington Capital Acquisition ,KCAC.U,UBS Investment Bank/ Stifel,10.0,10.05,10.05,0.005000000000000071,0.05000000000000071,0.05000000000000071,1.0,,2020,6,26,4,0.0,0.0
94,2020-06-26,PolyPid ,PYPD,Barclays/ BMO Capital Markets,16.0,16.0,19.0,0.1875,0.0,3.0,2.0,,2020,6,26,4,0.1875,3.0
95,2020-06-30,GS Acquisition Holdings Corp II ,GSAH.U,Goldman Sachs/ Citigroup,10.0,10.4,10.51,0.050999999999999976,0.40000000000000036,0.5099999999999998,1.0,,2020,6,30,1,0.010576923076923022,0.10999999999999943
96,2020-07-01,Dun & Bradstreet Holdings ,DNB,Goldman Sachs/ BofA Securities,22.0,25.0,25.35,0.15227272727272734,3.0,3.3500000000000014,2.0,,2020,7,1,2,0.014000000000000058,0.3500000000000014
97,2020-07-01,Panacea Acquisition ,PANA.U,Cowen,10.0,10.85,11.3,0.13000000000000006,0.8499999999999996,1.3000000000000007,1.0,,2020,7,1,2,0.04147465437788028,0.45000000000000107
98,2020-07-02,Accolade ,ACCD,Goldman Sachs/ Morgan Stanley/ BofA Securities,22.0,35.0,29.7,0.35,13.0,7.699999999999999,3.0,,2020,7,2,3,-0.15142857142857144,-5.300000000000001
99,2020-07-02,Capstar Special Purpose Acquisition ,CPSR.U,Citigroup/ UBS Investment Bank/ BTIG,10.0,10.16,10.22,0.022000000000000065,0.16000000000000014,0.22000000000000064,1.0,,2020,7,2,3,0.0059055118110236705,0.0600000000000005
100,2020-07-02,Lemonade ,LMND,Goldman Sachs/ Morgan Stanley/ Allen & Company/ Barclays Capital ,29.0,50.06,69.41,1.3934482758620688,21.060000000000002,40.41,3.0,,2020,7,2,3,0.3865361566120654,19.349999999999994
101,2020-07-08,BlueCity Holdings ,BLCT, AMTD/ Loop Capital Markets/ Tiger Brokers/ Prime Number Capital/ R. F. Lafferty,16.0,20.45,23.43,0.464375,4.449999999999999,7.43,N/C,,2020,7,8,2,0.14572127139364305,2.9800000000000004
102,2020-07-08,Therapeutics Acquisition ,TXAC,Jefferies,10.0,11.25,12.02,0.20199999999999996,1.25,2.0199999999999996,1.0,Missed,2020,7,8,2,0.0684444444444444,0.7699999999999996
103,2020-07-10,Nkarta ,NKTX,Cowen/ Evercore ISI/ Stifel/ Mizuho Securities,18.0,54.75,47.99,1.6661111111111113,36.75,29.990000000000002,3.0,,2020,7,10,4,-0.12347031963470316,-6.759999999999998
104,2020-07-10,Poseida Therapeutics ,PSTX,BofA Securities/ Piper Sandler/ William Blair,16.0,17.0,15.35,-0.04062500000000002,1.0,-0.6500000000000004,3.0,,2020,7,10,4,-0.09705882352941178,-1.6500000000000004
105,2020-07-10,Quhuo Limited ,QH,Roth Capital Partners/ VALUABLE CAPITAL LIMITED/ Tiger Brokers,10.0,15.31,12.77,0.27699999999999997,5.3100000000000005,2.7699999999999996,2.0,Missed,2020,7,10,4,-0.16590463749183545,-2.540000000000001
106,2020-07-13,PTK Acquisition,PTK.U,Chardan,10.0,10.03,10.11,0.010999999999999944,0.02999999999999936,0.10999999999999943,1.0,,2020,7,13,0,0.00797607178464607,0.08000000000000007
107,2020-07-14,Artius Acquisition ,AACQU,Credit Suisse/ Goldman Sachs,10.0,10.42,10.35,0.03499999999999996,0.41999999999999993,0.34999999999999964,1.0,,2020,7,14,1,-0.006717850287907897,-0.07000000000000028
108,2020-07-14,nCino ,NCNO,BofA Securities/ Barclays Capital/ KeyBanc Capital Markets/ SunTrust Robinson Humphrey,31.0,71.0,91.59,1.9545161290322581,40.0,60.59,3.0,,2020,7,14,1,0.29000000000000004,20.590000000000003
109,2020-07-15,D8 Holdings ,DEH.U,UBS Investment Bank,10.0,10.05,10.03,0.002999999999999936,0.05000000000000071,0.02999999999999936,1.0,,2020,7,15,2,-0.0019900497512439154,-0.02000000000000135
110,2020-07-15,GoHealth ,GOCO,Goldman Sachs/ BofA Securities/ Morgan Stanley,21.0,25.0,19.13,-0.0890476190476191,4.0,-1.870000000000001,3.0,,2020,7,15,2,-0.23480000000000004,-5.870000000000001
111,2020-07-15,Malacca Straits Acquisition (MLACU ) (u),MLCU,BTIG,10.0,10.1,10.04,0.003999999999999915,0.09999999999999964,0.03999999999999915,1.0,,2020,7,15,2,-0.00594059405940599,-0.0600000000000005
112,2020-07-16,HPX Corp. ,HPX.U,Credit Suisse,10.0,10.2,10.17,0.016999999999999994,0.1999999999999993,0.16999999999999993,1.0,,2020,7,16,3,-0.002941176470588173,-0.02999999999999936
113,2020-07-16,Relay Therapeutics ,RLAY,J.P. Morgan/ Goldman Sachs/ Cowen/ Guggenheim Securities,20.0,35.0,35.05,0.7524999999999998,15.0,15.049999999999997,3.0,,2020,7,16,3,0.0014285714285713475,0.04999999999999716
114,2020-07-16,Trean Insurance Group  ,TIG,J.P. Morgan/ Evercore ISI/ William Blair,15.0,17.05,15.51,0.03399999999999999,2.0500000000000007,0.5099999999999998,3.0,,2020,7,16,3,-0.09032258064516134,-1.540000000000001
115,2020-07-17,ALX Oncology Holdings ,ALXO,Jefferies/ Credit Suisse/ Piper Sandler/ Cantor,18.0,36.5,30.0,0.6666666666666666,18.5,12.0,3.0,,2020,7,17,4,-0.1780821917808219,-6.5
116,2020-07-17,Berkeley Lights ,BLI,J.P. Morgan/ Morgan Stanley/ Cowen,22.0,51.03,65.45,1.975,29.03,43.45,3.0,,2020,7,17,4,0.2825788751714678,14.420000000000002
117,2020-07-17,Deerfield Healthcare Technology Acquisitions ,DFHTU,Deutsche Bank Securities/ UBS Investment Bank,10.0,10.51,10.63,0.06300000000000008,0.5099999999999998,0.6300000000000008,1.0,,2020,7,17,4,0.011417697431018173,0.120000000000001
118,2020-07-17,Pandion Therapeutics Holdco ,PAND,Goldman Sachs/ Morgan Stanley/ SVB Leerink/ BMO Capital Markets,18.0,27.0,18.1,0.005555555555555635,9.0,0.10000000000000142,3.0,,2020,7,17,4,-0.32962962962962955,-8.899999999999999
