,Date,Company,Ticker,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg,$ Chg Open,$ Chg Close,Star Rating,Performed,Year,Month,Day,Day of Week,1st Day Open to Close % Chg,1st Day Open to Close $ Chg,Opening Gap % Chg,Mgr Count,Lead Mgr
0,2020-01-17,I-Mab ,IMAB,Jefferies/ CICC,14.0,14.75,12.75,-0.08928571428571429,0.75,-1.25,2.0,,2020,1,17,4,-0.13559322033898305,-2.0,0.05357142857142857,2,Jefferies
1,2020-01-17,LIZHI ,LIZI,Credit Suisse/ Citigroup,11.0,11.03,11.63,0.057272727272727336,0.029999999999999364,0.6300000000000008,1.0,,2020,1,17,4,0.05439709882139632,0.6000000000000014,0.002727272727272669,2,Credit Suisse
2,2020-01-17,Phoenix Tree Holdings Ltd. ,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0.0,0.0,0.0,1.0,,2020,1,17,4,0.0,0.0,0.0,3,Citigroup
3,2020-01-17,Velocity Financial ,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,13.0,13.85,13.51,0.03923076923076922,0.8499999999999996,0.5099999999999998,1.0,,2020,1,17,4,-0.024548736462093854,-0.33999999999999986,0.06538461538461536,3,Wells Fargo Securities
4,2020-01-24,Gores Holdings IV ,GHIVU,Deutsche Bank Securities,10.0,10.52,10.45,0.04499999999999993,0.5199999999999996,0.4499999999999993,1.0,,2020,1,24,4,-0.00665399239543729,-0.07000000000000027,0.051999999999999956,1,Deutsche Bank Securities
5,2020-01-24,SCVX Corp. ,SCVXU,Credit Suisse,10.0,10.3,10.32,0.03200000000000003,0.3000000000000007,0.3200000000000003,1.0,,2020,1,24,4,0.0019417475728154925,0.01999999999999957,0.030000000000000072,1,Credit Suisse
6,2020-01-28,AnPac Bio-Medical Science ,ANPC,WestPark Capital,12.0,12.0,11.25,-0.0625,0.0,-0.75,1.0,,2020,1,28,1,-0.0625,-0.75,0.0,1,WestPark Capital
7,2020-01-29,Annovis Bio ,ANVS,ThinkEquity (a division of Fordham Financial Management ),6.0,6.63,9.59,0.5983333333333333,0.6299999999999999,3.59,1.0,Missed,2020,1,29,2,0.4464555052790347,2.96,0.10499999999999998,1,ThinkEquity (a division of Fordham Financial Management )
8,2020-01-29,Black Diamond Therapeutics ,BDTX,J.P. Morgan/ Jefferies/ Cowen,19.0,33.0,39.48,1.077894736842105,14.0,20.48,3.0,,2020,1,29,2,0.19636363636363627,6.479999999999998,0.7368421052631579,3,J.P. Morgan
9,2020-01-31,1Life Healthcare ,OWEM,J.P. Morgan/ Morgan Stanley,14.0,18.0,22.07,0.5764285714285714,4.0,8.07,2.0,,2020,1,31,4,0.2261111111111111,4.07,0.2857142857142857,2,J.P. Morgan
10,2020-01-31,Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,17.0,23.05,21.8,0.28235294117647064,6.050000000000002,4.800000000000002,2.0,,2020,1,31,4,-0.054229934924078085,-1.25,0.35588235294117654,3,Goldman Sachs
